BID	B
1	Aansluitleidingen aansluiten
2	Aansluitmogelijkheid bieden
3	Aansturen
4	Aanvoer afstromend hemelwater vanaf een kolk
5	Aanvoer van afvalwater
6	Aanvoer van afvalwater
7	Aanvoer van afvalwater
8	Aanvoer van afvalwater vanaf een perceel
9	Aanvoer van grondwater
10	Aanvoer van hemelwater
11	Aanvoer van hemelwater
12	Aanvoer van hemelwater en vuilwater
13	Aanvoer van vuilwater
14	Aanvullende bemaling
15	Aanwijzen afsluiterstand
16	Afdekken
17	Afdekken
18	Afdekken ondergrondse voorziening
19	Afdekken put
20	Afdekken van peilbuis
21	Afremmen van de stroomsnelheid van het afvalwater
22	Afscheiden olie/benzine
23	Afscheiden slib
24	Afscheiden vaste deeltjes (vuil en slib)
25	Afscheiden vet
26	Afschermen
27	Afsluiten
28	Afsluiten in één stroomrichting
29	Afsluiten in één stroomrichting
30	Afsluiten in één stroomrichting
31	Afsluiten in twee stroomrichtingen
32	Afsluiten in twee stroomrichtingen
33	Afsluiten in twee stroomrichtingen
34	Afsluiten van leidingen
35	Afsluiten van leidingen
36	Afvoeren hemelwater naar de ondergrond
37	Afvoeren hemelwater naar de ondergrond
38	Afvoeren hemelwater naar de ondergrond
39	Afvoeren hemelwater naar de ondergrond
40	Afvoeren hemelwater naar de ondergrond
41	Afvoer naar kolkaansluitleiding
42	Afvoer naar kolkaansluitleiding
43	Afvoer naar kolkaansluitleiding
44	Afvoer van afvalwater naar een RWZI
45	Afvoer van gassen uit de riolering
46	Amfibieën en zoogdieren redden
47	Be- of ontluchten
48	Bedienen afsluiter
49	Bedienen van meerdere pompunits
50	Beluchten leiding
51	Beluchten mechanische leiding
52	Beluchten of ventileren
53	Beperken debiet
54	Beschermen tegen vallen
55	Bezinken stoffen
56	Bezinken stoffen
57	Bij calamiteit afvalwater afvoeren
58	Bij calamiteit afvalwater afvoeren
59	Bluswater leveren
60	Bluswater leveren
61	Bovenstrooms waterpeil regelen
62	Constructie beschermen
63	Door bemaling geregelde afvoer
64	Doorspoelen rioolstelsel
65	Door stuwing geregelde afvoer
66	Doorvoeren leidingen en/of kabels
67	Dragen van licht verkeer
68	Dragen van zwaar verkeer
69	Drainage en transport van hemel- en grondwater
70	Drijvend materiaal opvangen
71	Fixeren putdeksel
72	Geen functie
73	Geen functie
74	Geleiden van de afvoer van het afvalwater
75	Geleiden van elektronen
76	Geleiden van treinen
77	Hemelwater afvoeren naar ondergrond
78	Hijsen
79	Injecteren van lucht
80	Inlaten van oppervlaktewater
81	In stand houden onderdruk
82	Inzamelen en kortstondig opslaan afvalwater
83	Inzamelen hemelwater en afgifte aan ondergrond
84	Inzameling van afvalwater
85	Inzameling van afvalwater
86	Inzameling van afvalwater
87	Inzameling van afvalwater
88	Inzameling van grondwater
89	Inzameling van grondwater
90	Inzameling van grondwater
91	Inzameling van grondwater
92	Inzameling van grondwater
93	Inzameling van grondwater
94	Inzameling van grondwater
95	Inzameling van hemelwater
96	Inzameling van hemelwater
97	Inzameling van hemelwater
98	Inzameling van hemelwater
99	Inzameling van hemelwater
100	Inzameling van hemelwater en vuilwater
101	Inzameling van vuilwater
102	Inzameling van vuilwater
103	Inzameling van vuilwater
104	Inzameling van vuilwater
105	Keren van water
106	Keren van water
107	Lanceren van een pig
108	Laten bezinken
109	Laten bezinken
110	Laten bezinken
111	Leidingaansluiting verstevigen
112	Leidingen aansluiten
113	Leidingen over een object geleiden
114	Leiding gescheiden laten kruisen
115	Lozen afvalwater
116	Lozen afvalwater
117	Lozen binnen het stelsel
118	Lozen binnen het stelsel
119	Lozen buiten het stelsel
120	Lozen buiten het stelsel
121	Lucht en water zuiveren
122	Lucht in mechanische leiding regelen
123	Meerdere drainageleidingen aansluiten
124	Meten, regelen, controleren en onderhouden
125	Meten capaciteit van de volumestroom
126	Meten (functie)
127	Meten grondwaterpeil
128	Meten hoeveelheid hemelwater
129	Meten kwaliteit van het afvalwater
130	Meten van natuurkundige grootheid
131	Meten van niveauwijziging
132	Meten waterdruk
133	Meten waterstand
134	Onbekende functie
135	Ondersteunen via de ondergrond
136	Ontluchten van een leiding
137	Ontluchten mechanische leiding
138	Ontluchten van riolering
139	Opslag van oppervlaktewater
140	Opvang en afvoer hemelwater
141	Opvangen axiale beweging
142	Opvangen horizontale verschuiving
143	Opvangen vuil
144	Opvangen vuil
145	Opvang hemelwater
146	Opvang van afstromend hemelwater
147	Opwoelen en verzamelen van bezinksel
148	Overbruggen groot niveauverschil
149	Overstortgebeurtenis registreren
150	Overtollig afvalwater laten wegstromen
151	Overtollig afvalwater laten wegstromen
152	Overtollig afvalwater laten wegstromen
153	Overtollig hemelwater infiltratievoorziening afvoeren
154	Perceelaansluitpunt met inlaat verbinden
155	Regelen van het debiet om de bergingscapaciteit van het bovenstroomse rioolstelsel te benutten
156	Regeling van de afvoer van het afvalwater
157	Regeling van de afvoer van het afvalwater
158	Regeling van de afvoer van het afvalwater
159	Regeling van de afvoer van het afvalwater
160	Regeling van de afvoer van het afvalwater
161	Reinigen afvalwater
162	Reinigen afvalwater
163	Reinigen afvalwater
164	Reinigen afvalwater
165	Reinigen afvalwater
166	Reinigen afvalwater
167	Rioolleidingen aansluiten
168	Rotatie omzetten naar translatie
169	Stromingsenergie verlagen
170	Tijdelijke berging van afvalwater
171	Tijdelijke berging van afvalwater
172	Tijdelijke berging van afvalwater
173	Tijdelijke berging van afvalwater
174	Tijdelijke berging van afvalwater
175	Tijdelijke berging van afvalwater
176	Tijdelijke berging van afvalwater
177	Tijdelijke berging van afvalwater
178	Tijdelijke berging van hemelwater
179	Tijdelijke berging van hemelwater
180	Tijdelijke berging van hemelwater en vuilwater
181	Tijdelijke berging van vuilwater
182	Tijdelijke opslag afvalwater perceel
183	Toegang belemmeren
184	Toegang geven tot aansluitleiding
185	Toegang geven tot aansluitleiding
186	Toegang geven tot een leiding
187	Toegang geven tot het rioolstelsel
188	Toegang geven tot zinker
189	Toegang geven voor doorspoelen
190	Toegang geven voor doorspoelen
191	Toegang verschaffen
192	Toegankelijk houden
193	Toegankelijk houden
194	Transporteert vooral
195	Transport van afvalwater
196	Transport van afvalwater
197	Transport van afvalwater
198	Transport van afvalwater
199	Transport van afvalwater
200	Transport van afvalwater
201	Transport van afvalwater onder een obstakel door
202	Transport van grondwater
203	Transport van grondwater
204	Transport van grondwater
205	Transport van grondwater
206	Transport van grondwater
207	Transport van hemelwater
208	Transport van hemelwater
209	Transport van hemelwater
210	Transport van hemelwater
211	Transport van hemelwater
212	Transport van hemelwater en vuilwater
213	Transport van oppervlaktewater
214	Transport van overstortend afvalwater
215	Transport van spoelwater
216	Transport van vuilwater
217	Transport van vuilwater
218	Transport van vuilwater
219	Transport van vuilwater
220	Transport van vuilwater
221	Transport van vuilwater
222	Uitstroom van afvalwater naar oppervlaktewater
223	Van stroom voorzien
224	Verbinden aansluitleiding met rioolput of rioolleiding
225	Verbinden van drie leidingen
226	Verbinden van drie leidingen
227	Verbinden van leidingen
228	Verbinden van leidingen in een hoek
229	Verbinden van leidingen met verschillende diameter
230	Verbinden van leidingen met verschillend materiaal of verbindingstype
231	Verbinden van twee leidingen
232	Verbinden van vier leidingen
233	Verbinding tussen oppervlaktewater
234	Verbinding tussen oppervlaktewater
235	Verhinderen dat opdrijvend materiaal afstroomt.
236	Vermindering waterslageffect
237	Verplaatsen van water
238	Verpompen van afvalwater
239	Verpompen van afvalwater
240	Verpompen van afvalwater
241	Verpompen van water
242	Verpompt grondwater
243	Verpompt oppervlaktewaterr
244	Verpompt spoelwater
245	Verpompt tunnelwater
246	Verwijderen fosfaat
247	Verwijderen opgedreven delen
248	Verwijderen stikstof
249	Verwijderen stikstof
250	Verwijderen van water 
251	Verwijderen vervuiling
252	Verwijderen zwevende stoffen
253	Verwijderen zwevende stoffen
254	Verwijderen zwevende stoffen
255	Volledig keren van water
256	Voorkomen dat stromen elkaar raken
257	Voorkomen stank
258	Voorkomen stank
259	Voorkomen van explosie
260	Voortgeleiding van energie
261	Voortgeleiding van materie
262	Voortgeleiding van signaal
263	Voortgeleiding van signaal
264	Waterniveau in stelsel regelen
265	Water spuiten
266	Zuiveren afvalwater
267	Zuiveren afvalwater
268	Zuiveren afvalwater
