CID	C
1	Aanleiden tot spelen
2	Aanpassen frequentie van elektrische energie
3	Aansluitleidingen aansluiten
4	Aansturen
5	Aansturen van een pomp door middel van een microprocessor
6	Aanvoer afstromend hemelwater vanaf een kolk
7	Aanvoer van afvalwater
8	Aanvoer van afvalwater vanaf een perceel
9	Aanvoer van grondwater
10	Aanvoer van hemelwater
11	Aanvoer van hemelwater en vuilwater
12	Aanvoer van vuilwater
13	Aanvoeren van water
14	Aanvullende bemaling
15	Aanwijzen afsluiterstand
16	Afdekken
17	Afdekken ondergrondse voorziening
18	Afdekken put
19	Afremmen van de stroomsnelheid van het afvalwater
20	Afscheiden olie/benzine
21	Afscheiden slib
22	Afscheiden van veld of terrein
23	Afscheiden vaste deeltjes (vuil en slib)
24	Afscheiden vet
25	Afschermen
26	Afsluiten in één stroomrichting
27	Afsluiten in twee stroomrichtingen
28	Afsluiten van leidingen
29	Afstroming herstellen
30	Afvoer naar kolkaansluitleiding
31	Afvoer van gassen uit de riolering
32	Afvoer van hemelwater
33	Afvoeren hemelwater naar de ondergrond
34	Afvoeren van water
35	Afvoeren van water door infiltratie
36	Be- of ontluchten
37	Bedienen afsluiter
38	Bedienen van meerdere pompunits
39	Begrazen
40	Beheren van parkeerplaatsen
41	Beluchten leiding
42	Beluchten mechanische leiding
43	Beluchten of ventileren
44	Beluchten vrijverval leiding
45	Bemalen van hoogwater
46	Beperken debiet
47	Beperken van erosie
48	Beperken van geluidshinder
49	Bergen van water
50	Beschaduwen
51	Beschermen tegen aanrijdingen
52	Beveiligen
53	Bewonen
54	Bezinken stoffen
55	Bij calamiteit afvalwater afvoeren
56	Bluswater leveren
57	Doorspoelen rioolstelsel
58	Doorvoeren leidingen en/of kabels
59	Dynamisch remmen van verkeerssnelheid
60	Faciliteren van culturele activiteiten
61	Faciliteren van klimmen
62	Faciliteren van onderwijs
63	Faciliteren van recreatie
64	Faciliteren van religieuze activiteiten
65	Gebruik door beroepsvaart
66	Gebruik door pleziervaart
67	Geen functie
68	Geleiden van de afvoer van het afvalwater
69	Geleiden van fauna
70	Graven herbergen
71	In stand houden onderdruk
72	Inlaten van oppervlaktewater
73	Inzamelen en kortstondig opslaan afvalwater
74	Inzamelen hemelwater en afgifte aan ondergrond
75	Inzameling van afvalwater
76	Inzameling van grondwater
77	Inzameling van hemelwater
78	Inzameling van hemelwater en vuilwater
79	Inzameling van vuilwater
80	Keren van grond
81	Keren van schepen via zwaaiplaats
82	Keren van water
83	Keren verkeer
84	Laden en lossen
85	Laten bezinken
86	Leiding gescheiden laten kruisen
87	Leidingen aansluiten
88	Lozen afvalwater
89	Lozen binnen het stelsel
90	Lozen buiten het stelsel
91	Lucht in mechanische leiding regelen
92	Meten (functie)
93	Meten capaciteit van de volumestroom
94	Meten grondwaterpeil
95	Meten hoeveelheid hemelwater
96	Meten kwaliteit van het afvalwater
97	Meten van afvalniveau
98	Meten van grondwaterstand
99	Meten van luchtkwaliteit
100	Meten van neerslag
101	Meten van niveauwijziging
102	Meten van verkeersstromen
103	Meten van waterkwaliteit
104	Meten waterdruk
105	Meten waterstand
106	Natuurlijk spelen
107	Natuurontwikkeling
108	Omgeven van deksel of kolk
109	Ondersteunen via de ondergrond
110	Onderwijzen
111	Ontluchten mechanische leiding
112	Ontluchten van een leiding
113	Ontluchten van riolering
114	Opladen en parkeren
115	Opslaan van materialen
116	Opslag van oppervlaktewater
117	Opsluiten van verharding
118	Opvang en afvoer hemelwater
119	Opvang hemelwater
120	Opvang van afstromend hemelwater
121	Opvangen vuil
122	Opwoelen en verzamelen van bezinksel
123	Overbruggen groot niveauverschil
124	Overstijgen van hoogteverschil
125	Overstortgebeurtenis registreren
126	Overtollig afvalwater laten wegstromen
127	Overtollig hemelwater infiltratievoorziening afvoeren
128	Parkeren
129	Recreatief gebruik
130	Recreatief vissen in oppervlaktewater
131	Reducering van omgevingseffecten
132	Regelen van het debiet om de bergingscapaciteit van het bovenstroomse rioolstelsel te benutten
133	Regeling van de afvoer van het afvalwater
134	Registreren van weggebruikers
135	Reinigen afvalwater
136	Remmen van verkeerssnelheid met fysieke middelen
137	Remmen van verkeerssnelheid met optische middelen
138	Rioolleidingen aansluiten
139	Schaatsen op oppervlaktewater
140	Scheiden van percelen
141	Scheiden van terrein
142	Scheiden van verkeersstromen
143	Surveillance
144	Tegengaan van parkeren
145	Tegengaan van verblinding
146	Tijdelijk opslaan van afvalwater
147	Tijdelijke berging van afvalwater
148	Tijdelijke berging van hemelwater
149	Tijdelijke berging van hemelwater en vuilwater
150	Tijdelijke berging van vuilwater
151	Toegang geven tot aansluitleiding
152	Toegang geven tot een leiding
153	Toegang geven tot het rioolstelsel
154	Toegang geven tot zinker
155	Toegang geven voor doorspoelen
156	Toegang verschaffen
157	Transport van afvalwater
158	Transport van afvalwater onder een obstakel door
159	Transport van grondwater
160	Transport van hemelwater
161	Transport van hemelwater en vuilwater
162	Transport van oppervlaktewater
163	Transport van overstortend afvalwater
164	Transport van spoelwater
165	Transport van vuilwater
166	Uitstroom van afvalwater naar oppervlaktewater
167	Van stroom voorzien
168	Verbeteren van koeling
169	Verbeteren van luchtkwaliteit
170	Verbeteren van vochthuishouding
171	Verbinden aansluitleiding met rioolput of rioolleiding
172	Verbinden van drie leidingen
173	Verbinden van leidingen
174	Verbinden van leidingen in een hoek
175	Verbinden van leidingen met verschillend materiaal of verbindingstype
176	Verbinden van leidingen met verschillende diameter
177	Verbinden van twee leidingen
178	Verbinden van vier leidingen
179	Verbinding tussen oppervlaktewater
180	Verdedigen van oever
181	Verfraaien
182	Verhinderen dat opdrijvend materiaal afstroomt
183	Verlichten
184	Verlichten ter verfraaiing
185	Verlichten van een fietspad
186	Verlichten van een hoofdweg
187	Verlichten van een industriegebied
188	Verlichten van een wijkontsluitingsweg
189	Verlichten van een winkelgebied
190	Verlichten van een woonwijk
191	Verlichten voor oriëntatie
192	Vermindering waterslageffect
193	Verplaatsen van water
194	Verpompen van afvalwater
195	Verpompen van water
196	Verversen
197	Verwijderen fosfaat
198	Verwijderen opgedreven delen
199	Verwijderen stikstof
200	Verwijderen vervuiling
201	Verwijderen zwevende stoffen
202	Volledig keren van water
203	Voorkomen dat stromen elkaar raken
204	Voorkomen stank
205	Voortgeleiding van energie
206	Voortgeleiding van materie
207	Voortgeleiding van signaal
208	Waterdicht maken
209	Waterniveau in stelsel regelen
210	Weren van fauna
211	Weren van fietsers
212	Weren van honden
213	Weren van vee
214	Weren van verkeer
215	Weren van wild
216	Zitgelegenheid faciliteren
217	Zonder toestandswijziging
218	Zuiveren afvalwater
219	Zwemmen in oppervlaktewater
